Age,Sex,Housing,Saving_accounts,Credit_amount,Risk
26,male,1-own,1-little,5117,good
21,male,2-rent,1-little,902,bad
38,male,1-own,1-little,1495,good
38,male,3-free,1-little,10623,good
43,male,1-own,1-little,1935,good
26,male,1-own,1-little,1424,good
21,male,1-own,1-little,6568,good
55,male,1-own,4-rich,1413,good
33,male,1-own,,3074,good
45,female,1-own,,3835,good
50,male,1-own,1-little,5293,bad
66,male,1-own,1-little,1908,bad
51,male,1-own,,3342,good
39,female,1-own,,932,good
31,male,1-own,1-little,3104,good
23,male,1-own,1-little,3913,good
24,male,2-rent,1-little,3021,good
64,female,1-own,1-little,1364,good
26,male,1-own,1-little,625,good
23,female,2-rent,,1200,good
30,male,1-own,1-little,707,good
32,male,1-own,,2978,good
30,male,1-own,1-little,4657,good
27,male,1-own,1-little,2613,good
27,male,1-own,4-rich,10961,bad
53,male,3-free,1-little,7865,bad
22,male,1-own,1-little,1478,bad
22,male,3-free,1-little,3149,good
26,male,1-own,1-little,4210,bad
51,male,3-free,3-quite rich,2507,good
35,male,1-own,2-moderate,2141,good
25,male,1-own,1-little,866,good
42,male,1-own,1-little,1544,good
30,male,1-own,1-little,1823,bad
23,male,1-own,,14555,bad
61,male,2-rent,2-moderate,2767,bad
35,female,1-own,1-little,1291,good
39,male,1-own,1-little,2522,good
29,female,1-own,,915,bad
51,male,1-own,1-little,1595,good
24,male,3-free,1-little,4605,bad
27,female,1-own,1-little,1185,good
35,female,1-own,3-quite rich,3447,good
25,male,1-own,1-little,1258,good
52,male,1-own,1-little,717,good
35,male,2-rent,2-moderate,1204,good
26,male,1-own,1-little,1925,good
22,female,2-rent,1-little,433,bad
39,female,1-own,4-rich,666,good
46,female,1-own,1-little,2251,good
24,female,1-own,1-little,2150,bad
35,male,1-own,2-moderate,4151,good
24,male,1-own,,2030,good
27,male,1-own,,7418,good
35,male,1-own,1-little,2684,good
29,male,3-free,1-little,2149,bad
23,female,1-own,2-moderate,3812,good
57,female,1-own,2-moderate,1154,good
27,male,1-own,1-little,1657,good
55,female,1-own,1-little,1603,good
36,male,3-free,1-little,5302,good
57,female,3-free,1-little,2748,good
32,male,1-own,1-little,1231,good
37,male,1-own,1-little,802,bad
36,male,1-own,,6304,good
38,female,1-own,1-little,1533,good
45,male,1-own,1-little,8978,bad
25,male,1-own,,999,good
32,male,1-own,,2662,good
37,female,2-rent,3-quite rich,1402,good
36,male,3-free,,12169,good
28,male,1-own,1-little,3060,bad
34,male,1-own,1-little,11998,bad
32,male,1-own,1-little,2697,good
26,female,1-own,1-little,2404,good
49,male,1-own,,1262,good
32,female,1-own,1-little,4611,bad
29,male,2-rent,2-moderate,1901,good
23,male,2-rent,4-rich,3368,good
50,male,1-own,1-little,1574,good
49,male,1-own,,1445,good
63,male,1-own,,1520,good
37,male,1-own,2-moderate,3878,good
35,female,1-own,1-little,10722,good
26,male,1-own,1-little,4788,good
31,male,3-free,2-moderate,7582,good
49,female,1-own,1-little,1092,good
48,male,1-own,1-little,1024,bad
26,male,1-own,1-little,1076,good
28,male,2-rent,1-little,9398,bad
44,female,3-free,1-little,6419,good
56,male,3-free,1-little,4796,good
46,male,1-own,,7629,good
26,female,1-own,1-little,9960,bad
20,female,2-rent,,4675,good
45,male,1-own,,1287,good
43,male,1-own,1-little,2515,good
32,male,1-own,4-rich,2745,good
54,female,1-own,1-little,672,good
42,female,1-own,1-little,3804,bad
37,male,1-own,,1344,bad
49,male,1-own,1-little,1038,good
44,male,3-free,3-quite rich,10127,bad
33,male,1-own,4-rich,1543,good
24,female,2-rent,,4811,good
33,male,1-own,2-moderate,727,bad
24,female,1-own,1-little,1237,bad
22,male,2-rent,1-little,276,good
40,male,3-free,,5381,good
25,male,1-own,2-moderate,5511,good
26,female,1-own,1-little,3749,good
25,male,1-own,1-little,685,bad
29,male,1-own,,1494,good
31,male,1-own,1-little,2746,bad
38,male,1-own,1-little,708,good
48,female,1-own,,4351,good
32,male,1-own,1-little,701,good
27,female,1-own,1-little,3643,good
28,male,1-own,1-little,4249,bad
32,male,1-own,1-little,1938,bad
34,male,3-free,1-little,2910,good
28,male,1-own,4-rich,2659,good
36,female,1-own,1-little,1028,good
39,male,1-own,1-little,3398,good
49,male,2-rent,,5801,good
34,female,1-own,4-rich,1525,good
31,male,1-own,1-little,4473,good
28,male,1-own,1-little,1068,good
75,male,3-free,1-little,6615,good
30,female,1-own,2-moderate,1864,bad
24,female,1-own,2-moderate,7408,bad
24,female,2-rent,2-moderate,11590,bad
23,male,2-rent,1-little,4110,bad
44,male,2-rent,1-little,3384,bad
23,female,1-own,1-little,2101,good
24,female,2-rent,,1275,bad
28,male,1-own,1-little,4169,good
31,male,1-own,1-little,1521,good
24,female,3-free,1-little,5743,good
26,female,2-rent,1-little,3599,good
25,male,2-rent,3-quite rich,3213,good
33,male,1-own,1-little,4439,good
37,male,1-own,1-little,3949,good
43,female,1-own,1-little,1459,good
23,male,1-own,1-little,882,good
23,female,2-rent,3-quite rich,3758,good
34,male,1-own,2-moderate,1743,good
32,male,3-free,4-rich,1136,bad
23,female,2-rent,1-little,1236,good
29,female,1-own,1-little,959,bad
38,male,1-own,,3229,good
28,male,2-rent,1-little,6199,bad
46,male,3-free,3-quite rich,727,good
23,male,1-own,1-little,1246,bad
49,male,1-own,,2331,good
26,male,1-own,1-little,4463,bad
28,male,1-own,1-little,776,good
23,female,2-rent,1-little,2406,bad
61,male,3-free,,1239,good
37,male,1-own,,3399,good
36,female,1-own,1-little,2247,good
21,male,2-rent,1-little,1766,good
25,male,1-own,1-little,2473,bad
36,male,1-own,1-little,1542,good
27,male,1-own,1-little,3850,good
22,female,2-rent,1-little,3650,good
42,male,1-own,1-little,3446,bad
40,female,2-rent,1-little,3001,good
36,male,1-own,,3079,good
33,male,1-own,1-little,6070,good
23,female,2-rent,1-little,2146,good
63,male,3-free,,13756,good
60,female,3-free,2-moderate,14782,bad
37,female,2-rent,1-little,7685,bad
34,male,1-own,1-little,2320,good
36,male,3-free,,846,good
57,male,3-free,1-little,14318,bad
52,female,1-own,2-moderate,362,good
39,male,1-own,,2212,good
38,female,3-free,1-little,12976,bad
25,female,2-rent,,1283,good
26,male,1-own,1-little,1330,good
26,male,1-own,2-moderate,4272,good
25,female,1-own,1-little,2238,good
21,female,2-rent,,1126,good
40,male,1-own,1-little,7374,good
27,male,1-own,3-quite rich,2326,good
27,female,1-own,1-little,1449,good
30,male,1-own,1-little,1820,good
19,female,2-rent,4-rich,983,good
39,male,3-free,1-little,3249,good
31,female,1-own,1-little,1957,good
31,male,1-own,1-little,2406,good
32,male,2-rent,2-moderate,11760,good
55,female,3-free,1-little,2578,good
46,male,1-own,1-little,2348,good
46,male,2-rent,1-little,1223,bad
43,female,1-own,4-rich,1516,good
39,male,1-own,1-little,1473,good
28,male,1-own,,1887,good
27,male,1-own,1-little,8648,bad
27,male,1-own,1-little,802,good
43,male,1-own,,2899,good
22,male,1-own,1-little,2039,bad
43,male,1-own,,2197,good
27,male,1-own,1-little,1053,good
26,male,1-own,3-quite rich,3235,good
28,male,1-own,3-quite rich,939,bad
20,female,1-own,1-little,1967,good
35,male,1-own,1-little,7253,good
42,male,1-own,1-little,2292,bad
40,male,2-rent,3-quite rich,1597,good
35,female,1-own,,1381,bad
35,male,1-own,1-little,5842,good
33,male,1-own,1-little,2579,bad
23,female,2-rent,,8471,good
31,female,1-own,3-quite rich,2782,good
33,female,1-own,,1042,bad
20,female,2-rent,4-rich,3186,good
30,male,1-own,,2028,good
47,male,1-own,1-little,958,good
34,male,1-own,2-moderate,1591,good
25,female,1-own,,2762,bad
21,male,2-rent,1-little,2779,good
29,male,1-own,1-little,2743,good
46,male,1-own,4-rich,1149,good
20,male,1-own,1-little,1313,good
55,female,3-free,1-little,1190,bad
74,male,1-own,1-little,3448,good
29,male,1-own,1-little,11328,bad
36,male,3-free,1-little,1872,good
33,male,1-own,1-little,2058,good
25,male,1-own,1-little,2136,good
25,male,1-own,,1484,bad
23,male,2-rent,3-quite rich,660,good
37,female,1-own,4-rich,1287,good
65,male,1-own,1-little,3394,good
26,female,1-own,1-little,609,bad
39,male,1-own,1-little,1884,good
30,female,1-own,1-little,1620,good
29,male,1-own,1-little,2629,good
41,male,1-own,1-little,719,bad
30,female,1-own,1-little,5096,bad
41,female,2-rent,,1244,good
34,female,1-own,1-little,1842,bad
35,male,1-own,1-little,2576,good
55,female,1-own,,1424,good
61,male,1-own,4-rich,1512,bad
30,male,1-own,,11054,good
29,female,1-own,1-little,518,good
34,male,1-own,1-little,2759,good
35,male,1-own,1-little,2670,good
31,male,1-own,1-little,4817,bad
29,female,1-own,1-little,2679,good
36,male,2-rent,1-little,3905,good
35,male,3-free,1-little,3386,bad
27,female,1-own,1-little,343,good
32,male,1-own,1-little,4594,good
37,male,1-own,1-little,3620,good
36,male,1-own,1-little,1721,good
34,female,2-rent,1-little,3017,good
38,male,1-own,,754,good
34,male,1-own,1-little,1950,good
63,male,1-own,1-little,2924,good
29,female,2-rent,1-little,1659,bad
32,male,1-own,,7238,good
26,female,1-own,1-little,2764,good
35,male,1-own,1-little,4679,good
22,male,2-rent,2-moderate,3092,bad
23,female,1-own,1-little,448,bad
28,male,1-own,1-little,654,bad
36,male,1-own,,1238,good
33,male,1-own,1-little,1245,bad
26,female,2-rent,1-little,3114,bad
24,male,1-own,3-quite rich,2569,good
25,male,1-own,1-little,5152,good
39,male,1-own,2-moderate,1037,good
44,male,1-own,1-little,1478,good
23,female,1-own,1-little,3573,good
26,male,1-own,1-little,1201,good
57,female,2-rent,4-rich,3622,good
30,female,1-own,4-rich,960,good
44,male,1-own,3-quite rich,1163,good
47,male,1-own,1-little,1209,bad
52,male,1-own,1-little,3077,good
62,female,3-free,1-little,3757,good
35,male,2-rent,2-moderate,1418,good
26,male,2-rent,1-little,3518,good
26,male,1-own,1-little,1934,good
42,female,3-free,1-little,8318,bad
27,female,1-own,2-moderate,1237,good
38,male,1-own,,368,good
39,male,2-rent,1-little,2122,good
20,male,1-own,,2996,bad
29,male,2-rent,2-moderate,9034,bad
40,male,1-own,1-little,1585,good
32,male,1-own,1-little,1301,good
28,male,1-own,2-moderate,1323,good
27,female,1-own,1-little,3123,bad
42,male,3-free,1-little,5493,good
49,male,1-own,2-moderate,1126,good
38,male,1-own,2-moderate,1216,bad
24,female,2-rent,1-little,1207,bad
27,male,1-own,,1309,bad
36,male,1-own,3-quite rich,2360,good
34,male,1-own,2-moderate,6850,bad
28,male,1-own,1-little,1413,good
45,male,1-own,2-moderate,8588,good
26,male,1-own,1-little,759,bad
32,male,3-free,1-little,4686,good
26,male,2-rent,1-little,2687,good
20,male,2-rent,1-little,585,good
54,male,1-own,,2255,good
37,female,1-own,1-little,609,good
40,male,1-own,1-little,1361,good
23,female,2-rent,1-little,7127,bad
43,male,1-own,2-moderate,1203,good
36,male,3-free,,700,good
44,male,3-free,1-little,5507,good
24,female,1-own,1-little,3190,bad
53,male,3-free,1-little,7119,bad
23,female,1-own,2-moderate,3488,good
26,female,1-own,1-little,1113,good
30,male,1-own,1-little,7966,good
31,female,1-own,2-moderate,1532,good
42,male,1-own,1-little,1503,good
31,male,2-rent,1-little,2302,bad
41,male,1-own,1-little,662,good
32,male,1-own,1-little,2273,good
28,female,2-rent,2-moderate,2631,bad
41,male,2-rent,1-little,1503,good
26,male,1-own,2-moderate,1311,good
25,male,1-own,,3105,good
33,male,2-rent,1-little,2319,bad
75,female,1-own,,1374,good
37,female,1-own,1-little,3612,good
42,male,3-free,1-little,7763,bad
45,female,1-own,1-little,3049,good
23,male,2-rent,1-little,1534,bad
60,male,3-free,1-little,2032,good
31,male,1-own,,6350,bad
34,male,1-own,1-little,2864,bad
61,male,1-own,1-little,1255,good
43,male,3-free,1-little,1333,bad
37,female,1-own,1-little,2022,good
32,male,1-own,1-little,1552,good
24,female,1-own,1-little,626,bad
35,male,3-free,,8858,good
23,female,1-own,,996,good
45,male,1-own,3-quite rich,1750,good
34,male,1-own,1-little,6999,bad
27,male,1-own,2-moderate,1995,good
67,female,1-own,1-little,1199,good
22,male,1-own,1-little,1331,bad
28,female,1-own,2-moderate,2278,bad
29,female,1-own,,5003,bad
27,male,1-own,1-little,3552,bad
31,male,1-own,1-little,1928,bad
49,male,3-free,,2964,good
24,male,2-rent,1-little,1546,bad
29,female,1-own,1-little,683,good
37,male,3-free,,12389,bad
37,male,1-own,,4712,good
23,female,2-rent,2-moderate,1553,good
36,male,1-own,1-little,1372,bad
34,male,1-own,4-rich,2578,good
41,male,1-own,,3979,good
31,female,1-own,1-little,6758,bad
23,female,2-rent,1-little,3234,bad
38,male,1-own,1-little,5954,good
26,female,2-rent,,5433,good
22,female,1-own,1-little,806,good
27,male,1-own,1-little,1082,good
24,female,1-own,1-little,2788,good
27,female,1-own,1-little,2930,good
33,female,1-own,,1927,good
27,male,1-own,1-little,2820,bad
27,male,1-own,1-little,937,good
30,male,1-own,1-little,1056,bad
49,male,1-own,1-little,3124,good
26,female,2-rent,1-little,1388,good
33,male,2-rent,1-little,2384,bad
52,female,3-free,,2133,good
20,female,2-rent,1-little,2039,bad
36,male,2-rent,1-little,2799,good
21,male,1-own,1-little,1289,good
47,male,1-own,1-little,1217,bad
60,male,1-own,1-little,2246,bad
58,female,1-own,1-little,385,good
42,female,2-rent,,1965,good
36,female,1-own,4-rich,1572,good
20,female,2-rent,1-little,2718,bad
40,male,1-own,,1358,bad
32,female,1-own,2-moderate,931,bad
23,female,2-rent,1-little,1442,bad
36,male,1-own,1-little,4241,bad
31,male,1-own,1-little,2775,bad
32,male,3-free,1-little,3863,good
45,female,1-own,1-little,2329,good
30,female,1-own,1-little,918,bad
34,female,3-free,1-little,1837,bad
28,female,1-own,1-little,3349,bad
23,female,1-own,1-little,1275,good
22,male,1-own,3-quite rich,2828,good
74,male,1-own,1-little,4526,good
50,female,3-free,2-moderate,2671,bad
33,male,1-own,1-little,2051,good
45,male,3-free,,1300,good
22,female,1-own,2-moderate,741,bad
48,female,3-free,2-moderate,1240,bad
29,female,1-own,4-rich,3357,good
22,female,2-rent,1-little,3632,good
22,female,1-own,1-little,1808,bad
48,male,1-own,,12204,good
27,male,3-free,,9157,good
37,male,2-rent,1-little,3676,good
21,female,2-rent,2-moderate,3441,bad
49,male,1-own,1-little,640,good
27,male,1-own,1-little,3652,good
32,male,1-own,1-little,1530,bad
38,male,1-own,,3914,bad
22,female,2-rent,1-little,1858,good
65,male,3-free,1-little,2600,bad
35,male,1-own,,1979,good
41,male,1-own,1-little,2116,good
29,male,1-own,2-moderate,1437,bad
36,male,1-own,3-quite rich,4042,good
64,male,1-own,,3832,good
28,female,1-own,1-little,3660,good
44,male,1-own,1-little,1553,bad
23,male,1-own,,1444,good
19,female,2-rent,1-little,1980,bad
25,female,1-own,1-little,1355,bad
47,male,1-own,1-little,1393,good
28,female,1-own,3-quite rich,1376,good
21,male,1-own,1-little,15653,good
34,female,1-own,1-little,1493,good
26,male,1-own,1-little,4370,bad
27,female,1-own,1-little,750,bad
38,male,1-own,1-little,1308,good
40,male,1-own,2-moderate,4623,bad
33,male,1-own,1-little,1851,good
32,male,1-own,1-little,1880,good
27,male,2-rent,,7980,bad
32,male,1-own,1-little,4583,good
26,female,1-own,3-quite rich,1386,bad
38,male,3-free,1-little,947,bad
40,male,2-rent,1-little,684,bad
50,male,3-free,1-little,7476,good
37,male,1-own,1-little,1922,bad
45,male,1-own,1-little,2303,bad
42,male,1-own,2-moderate,8086,bad
35,male,1-own,1-little,2346,good
22,male,3-free,1-little,3973,good
41,male,1-own,1-little,888,bad
37,male,1-own,,10222,good
28,female,1-own,1-little,4221,good
41,male,1-own,1-little,6361,good
23,male,2-rent,1-little,1297,good
23,male,1-own,,900,bad
50,male,1-own,1-little,2241,good
35,male,1-own,1-little,1050,good
50,female,1-own,1-little,1047,good
27,male,1-own,1-little,6314,good
34,male,1-own,4-rich,3496,good
27,female,1-own,1-little,3609,good
43,male,2-rent,1-little,4843,bad
47,male,1-own,1-little,3017,good
27,male,1-own,2-moderate,4139,good
31,male,1-own,2-moderate,5742,good
42,male,1-own,1-little,10366,good
24,male,1-own,3-quite rich,2080,good
41,male,1-own,3-quite rich,2580,bad
26,female,2-rent,1-little,4530,good
33,male,1-own,1-little,5150,good
24,male,1-own,2-moderate,5595,bad
64,male,2-rent,1-little,2384,good
26,female,1-own,1-little,1453,good
56,female,1-own,1-little,1538,good
37,male,3-free,,2279,good
33,male,1-own,1-little,1478,good
47,male,3-free,1-little,5103,good
31,male,1-own,2-moderate,9857,good
34,male,3-free,,6527,good
27,male,1-own,,1347,good
30,male,3-free,2-moderate,2862,good
35,male,1-own,2-moderate,2753,good
31,male,1-own,4-rich,3651,good
25,male,1-own,1-little,975,good
25,female,1-own,2-moderate,2631,good
29,male,1-own,2-moderate,2896,good
44,male,1-own,,4716,good
28,male,1-own,1-little,2284,good
50,male,2-rent,3-quite rich,1236,good
29,male,1-own,1-little,1103,good
38,female,1-own,1-little,926,good
24,male,1-own,1-little,1800,good
40,male,2-rent,1-little,1905,good
29,female,2-rent,3-quite rich,1123,bad
46,male,3-free,1-little,6331,bad
47,female,3-free,2-moderate,1377,good
41,male,1-own,2-moderate,2503,good
32,female,1-own,1-little,2528,good
35,female,3-free,3-quite rich,5324,good
24,male,1-own,2-moderate,6560,bad
25,female,2-rent,1-little,2969,bad
25,female,1-own,1-little,1206,good
37,male,1-own,1-little,2118,good
32,male,1-own,3-quite rich,629,good
35,female,3-free,1-little,1198,bad
46,male,1-own,,2476,good
25,male,1-own,1-little,1138,good
27,male,1-own,1-little,14027,bad
63,male,1-own,,7596,good
40,male,1-own,,3077,good
32,male,3-free,1-little,1505,good
31,male,1-own,,3148,good
31,male,1-own,2-moderate,6148,good
34,male,1-own,1-little,1337,bad
24,female,2-rent,4-rich,433,bad
24,female,1-own,1-little,1228,bad
66,female,1-own,3-quite rich,790,good
21,female,2-rent,1-little,2570,bad
41,female,1-own,4-rich,250,good
47,male,1-own,3-quite rich,1316,good
25,female,2-rent,1-little,1882,bad
59,female,2-rent,1-little,6416,bad
36,male,1-own,4-rich,1275,good
33,male,1-own,1-little,6403,good
21,male,2-rent,1-little,1987,bad
44,female,1-own,1-little,760,good
28,female,2-rent,4-rich,2603,good
37,female,1-own,1-little,3380,good
29,female,1-own,,3990,good
23,female,2-rent,1-little,11560,bad
35,male,1-own,2-moderate,4380,good
45,male,1-own,1-little,6761,good
26,female,2-rent,2-moderate,4280,bad
32,male,1-own,2-moderate,2325,good
23,male,1-own,1-little,1048,good
41,male,1-own,,3160,good
22,male,1-own,3-quite rich,2483,good
30,male,1-own,,14179,good
28,male,1-own,1-little,1797,good
23,female,2-rent,1-little,2511,good
37,female,1-own,1-little,1274,bad
26,male,1-own,,5248,good
33,male,1-own,1-little,3029,good
49,female,1-own,1-little,428,good
23,female,1-own,1-little,976,bad
23,female,2-rent,2-moderate,841,good
25,female,1-own,1-little,5771,good
55,male,3-free,4-rich,1555,bad
32,female,2-rent,,1285,bad
74,male,1-own,1-little,1299,good
39,male,3-free,,1271,bad
31,male,1-own,1-little,1393,good
35,male,1-own,1-little,691,bad
59,female,1-own,,5045,good
24,female,2-rent,1-little,2124,bad
24,male,1-own,1-little,2214,good
30,male,3-free,,12680,bad
27,male,1-own,2-moderate,2463,good
40,male,1-own,1-little,1155,good
31,male,1-own,1-little,3108,bad
31,female,2-rent,,2901,good
28,male,2-rent,1-little,3617,good
63,male,1-own,1-little,1655,good
26,female,2-rent,,2812,good
25,female,1-own,1-little,8065,bad
36,male,1-own,1-little,3275,good
52,male,1-own,2-moderate,2223,good
66,male,3-free,3-quite rich,1480,good
25,female,2-rent,,1371,bad
37,male,1-own,1-little,3535,good
25,female,1-own,1-little,3509,good
38,male,1-own,4-rich,5711,good
67,female,1-own,1-little,3872,good
25,male,1-own,1-little,4933,bad
60,male,1-own,4-rich,1940,good
31,male,1-own,1-little,1410,good
23,female,1-own,2-moderate,836,bad
60,male,1-own,,6468,good
35,male,1-own,4-rich,1941,good
40,male,1-own,3-quite rich,2675,good
38,male,1-own,,2751,good
50,male,3-free,1-little,6224,bad
27,male,1-own,1-little,5998,bad
39,female,1-own,1-little,1188,bad
41,male,1-own,,6313,good
27,male,1-own,,1221,good
51,male,3-free,1-little,2892,good
32,male,2-rent,3-quite rich,3062,good
22,female,2-rent,2-moderate,2301,good
51,male,3-free,,7511,bad
22,female,2-rent,1-little,1258,good
54,male,1-own,,717,good
35,male,1-own,,1549,good
54,male,3-free,1-little,1597,good
48,female,2-rent,1-little,1795,good
24,female,1-own,1-little,4272,good
35,male,1-own,,976,good
24,female,2-rent,,7472,good
24,male,1-own,1-little,9271,bad
